title,item_no,Country of Origin,barcode,Description,image,price,pack_price,url
TOY PIZZA KITCHEN PLAY SET,Item No.: 115384,Country of Origin: CHINA,885861221760,"CS/PK Size: 48/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/115384.jpg,$0.93,$22.32,https://www.jcsalesweb.com/Catalog/Product/3056/0/582521-TOY-PIZZA-KITCHEN-PLAY-SET
SOFTEEN FACIAL TISSUE 2-PLY 85CT,Item No.: 27933,Country of Origin:,655406036858,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/27933.jpg,$0.77,$27.72,https://www.jcsalesweb.com/Catalog/Product/3053/0/550509-SOFTEEN-FACIAL-TISSUE-2-PLY-85CT
SUNGLASSES FASHION ASST COLOR LENS #CH01RV,Item No.: 412103,Country of Origin: CHINA,843653142754,"CS/PK Size: 300/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412103.jpg,$0.93,$11.16,https://www.jcsalesweb.com/Catalog/Product/3006/0/582054-SUNGLASSES-FASHION-ASST-COLOR-LENS-CH01RV
BATH TISSUE 500 2 PLY,Item No.: 100995,Country of Origin: MEXICO,100995,"CS/PK Size: 96/96, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/100995.jpg,$0.39,$37.44,https://www.jcsalesweb.com/Catalog/Product/3053/0/555173-BATH-TISSUE-500-2-PLY
VIRTUE PAPER TOWEL 100 CT 2  PLY,Item No.: 73247,Country of Origin: MEXICO,73247,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/73247.jpg,$0.81,$19.44,https://www.jcsalesweb.com/Catalog/Product/3053/0/453001-VIRTUE-PAPER-TOWEL-100-CT-2-PLY
GLASS COOKIE JAR 139OZ W/ BLACK LID & DECAL #5359-4,Item No.: 412175,Country of Origin: CHINA,847889053594,"CS/PK Size: 4/4, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412175.jpg,$7.01,$28.04,https://www.jcsalesweb.com/Catalog/Product/2989/0/582195-GLASS-COOKIE-JAR-139OZ-W-BLACK-LID-DECAL-5359-4
CERAMIC MUG 18OZ WHITE W/ DESIGN #65725,Item No.: 412152,Country of Origin: CHINA,013429657250,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412152.jpg,$0.93,$33.48,https://www.jcsalesweb.com/Catalog/Product/2989/0/582172-CERAMIC-MUG-18OZ-WHITE-W-DESIGN-65725
SOFT TOUCH PAPER TOWEL 100CT 2PLY BIG ROLL,Item No.: 21051,Country of Origin: USA,081137210517,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/21051.jpg,$0.95,$22.80,https://www.jcsalesweb.com/Catalog/Product/3053/0/432499-SOFT-TOUCH-PAPER-TOWEL-100CT-2PLY-BIG-ROLL
BIG QUALITY PAPER TOWEL 150 CT 2 PLY,Item No.: 732451,Country of Origin: MEXICO,54136300311,"CS/PK Size: 20/20, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/732451.jpg,$0.77,$15.40,https://www.jcsalesweb.com/Catalog/Product/3053/0/458898-BIG-QUALITY-PAPER-TOWEL-150-CT-2-PLY
HAIR JAW AND BAND SET BLACK & BROWN ASST,Item No.: 213142,Country of Origin: CHINA,16670560446,"CS/PK Size: 480/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/213142.jpg,$0.65,$7.80,https://www.jcsalesweb.com/Catalog/Product/3006/0/581276-HAIR-JAW-AND-BAND-SET-BLACK-BROWN-ASST
BIG ROLL PAPER TOWEL 90CT 2PLY SUPER SOFT,Item No.: 70024,Country of Origin: USA,10744096771006,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/70024.jpg,$0.95,$22.80,https://www.jcsalesweb.com/Catalog/Product/3053/0/435561-BIG-ROLL-PAPER-TOWEL-90CT-2PLY-SUPER-SOFT
KITCHEN TOWEL WHITE 12CT,Item No.: 275025,Country of Origin:,275025,"CS/PK Size: 40/40, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/275025.jpg,$1.75,$70.00,https://www.jcsalesweb.com/Catalog/Product/2989/0/582036-KITCHEN-TOWEL-WHITE-12CT
HAIR BAND 24 COUNT ASST COLOR,Item No.: 213140,Country of Origin: CHINA,659499887212,"CS/PK Size: 1,200/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/213140.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/581275-HAIR-BAND-24-COUNT-ASST-COLOR
CHILDREN'S FASHION FACE MASK ASST CLRS,Item No.: 158323,Country of Origin: CHINA,871170023171,"CS/PK Size: 1,200/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/158323.jpg,$0.58,$13.92,https://www.jcsalesweb.com/Catalog/Product/3006/0/580145-CHILDRENS-FASHION-FACE-MASK-ASST-CLRS
HAIR PONYTAIL W/BRAIDS & FLOWERS #JJ2300,Item No.: 203170,Country of Origin: CHINA,,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/203170.jpg,$0.46,$5.52,https://www.jcsalesweb.com/Catalog/Product/3006/0/580238-HAIR-PONYTAIL-WBRAIDS-FLOWERS-JJ2300
ID HOLDER ASST COLOR #JJ-008,Item No.: 203171,Country of Origin: CHINA,871170000080,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/203171.jpg,$0.65,$7.80,https://www.jcsalesweb.com/Catalog/Product/3006/0/580274-ID-HOLDER-ASST-COLOR-JJ-008
HAIR BAND 3PC COZY STYLE #SQ009,Item No.: 199006,Country of Origin: CHINA,659499897488,"CS/PK Size: 1,200/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/199006.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/580656-HAIR-BAND-3PC-COZY-STYLE-SQ009
"CERAMIC BOWL GREY & BLUE W/ WHITE TRIM 6"" #65644",Item No.: 412044,Country of Origin: CHINA,013429656444,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412044.jpg,$0.88,$31.68,https://www.jcsalesweb.com/Catalog/Product/2989/0/581871-CERAMIC-BOWL-GREY-BLUE-W-WHITE-TRIM-6-65644
TITAN SATIN CLASSIC DU-RAG WHITE,Item No.: 169837,Country of Origin: CHINA,37A658302116044,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/169837.jpg,$0.70,$25.20,https://www.jcsalesweb.com/Catalog/Product/3006/0/578749-TITAN-SATIN-CLASSIC-DU-RAG-WHITE
MEN'S HAT MILK/BEIGE BAND ONLY BLACK,Item No.: 108204,Country of Origin: CHINA,718552035165,"CS/PK Size: 120/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108204.jpg,$1.05,$12.60,https://www.jcsalesweb.com/Catalog/Product/3006/0/578671-MENS-HAT-MILKBEIGE-BAND-ONLY-BLACK
HAIR TIE 8CT MEDIUM NEON ASST CLR,Item No.: 203048,Country of Origin: CHINA,659499895590,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/203048.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/576179-HAIR-TIE-8CT-MEDIUM-NEON-ASST-CLR
HAIR PIN BOW ASST CLR,Item No.: 203160,Country of Origin: CHINA,871170010720,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/203160.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/579426-HAIR-PIN-BOW-ASST-CLR
PHONE STENT RING STYLE,Item No.: 108231,Country of Origin: CHINA,,"CS/PK Size: 480/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108231.jpg,$0.73,$8.76,https://www.jcsalesweb.com/Catalog/Product/3006/0/578709-PHONE-STENT-RING-STYLE
HAIR TIE 6CT BLACK,Item No.: 203055,Country of Origin: CHINA,659499897624,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/203055.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/576188-HAIR-TIE-6CT-BLACK
NUVALU HAIR JAW CLIP BLACK 12PCS,Item No.: 209105,Country of Origin:,195457091050,"CS/PK Size: 72/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/209105.jpg,$0.93,$22.32,https://www.jcsalesweb.com/Catalog/Product/3006/0/579717-NUVALU-HAIR-JAW-CLIP-BLACK-12PCS
KEYCHAIN HEART I LOVE YOU,Item No.: 202050,Country of Origin: CHINA,871170058951,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/202050.jpg,$0.65,$7.80,https://www.jcsalesweb.com/Catalog/Product/3006/0/573728-KEYCHAIN-HEART-I-LOVE-YOU
HAIR PIN BOW ASST CLR,Item No.: 202056,Country of Origin: CHINA,871170059019,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/202056.jpg,$0.58,$6.96,https://www.jcsalesweb.com/Catalog/Product/3006/0/573777-HAIR-PIN-BOW-ASST-CLR
