id,name,sku,upc,url_key,image,description,special_price,regular_price,tier_prices,min price,categories,status
42540,Multi-Color Narrow Striped Chindi Rug,OT868,731015246052,multi-color-narrow-striped-chindi-rug,"https://www.koleimports.com/media/catalog/product/O/T/OT868.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Revive your home with this Multi-color Striped Chindi Rug with its color and textures. The decorative area rug has fringes in each end and can be turned over for more extended usage. The rug is 20"" x 32"" in size. Its multi-color features make this rug visually interested. The carpet comes packaged loose with hanging header card. The rug is 100% cotton and woven from multi-color yarn. Color may vary. ,Multi-Color Narrow Striped Chindi Rug,",2,3.15,"2.63,2.39",2,"Bed & Bath, Bath Mats, Rugs & Grips",IN_STOCK
19261,Multi-Use Travel Pillow,OC270,731015190621,multi-use-travel-pillow,"https://www.koleimports.com/media/catalog/product/O/C/OC270-25731.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Take the stress out of travel with this multi-use travel pillow. Fleece lined pillow is filled with tension easing micro beads to soothe away your aches. Bends, twists and shapes into multiple positions making it the ideal traveling companion. Made of 100% polyester and measures 12&quot; in diameter.",4.27,6.47,"5.39,4.9",4.27,"Bed & Bath, Bedding",OUT_OF_STOCK
50362,"20"" x 32"" Multicolor Striped Rug w/Fringe",OP991,731015276530,20-x-32-multicolor-striped-rug-w-fringe,"https://www.koleimports.com/media/catalog/product/O/P/OP991.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","20"" x 32"" Multicolor Striped Rug w/Fringe,",,3.71,"3.09,2.81",2.81,"Bed & Bath, Bath Mats, Rugs & Grips",IN_STOCK
24088,"Toothbrush valet or caddy, black",ZZ301,731015129386,t-brush-valet-black-grey,"https://www.koleimports.com/media/catalog/product/Z/Z/ZZ301.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230",Here&#039;s a simple way to store toothbrushes on the bathroom sink. Simply place this valet on the counter and hang brushes in it to keep them clean and away from each other. This is a much more sanitary way to store toothbrushes over placing them in a drawer. Measures 5&quot; high.,,0.43,"0.36,0.33",0.33,"Bed & Bath, Toothbrush Holders",OUT_OF_STOCK
23612,4 Piece Sheet Fasteners,ZA053,731015145706,4-pc-sheet-fasteners,https://www.koleimports.com/media/catalog/product/placeholder/default/Untitled-4_1.jpg,4 Piece Sheet Fasteners,,1.13,"0.94,0.85",0.85,"Bed & Bath, Bedding",OUT_OF_STOCK
9293,Pillow Protectors,GR014,731015155613,pillow-protectors,"https://www.koleimports.com/media/catalog/product/G/R/GR014_2.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Help keep your pillows clean and your sleep restful and healthy with this 2-piece Pillow Protectors Set featuring waterproof pillow protectors made of non-woven breathable fabric that fit most standard-sized pillows. Care is easy - simply hand wash with mild soap and warm water or wipe clean with a damp cloth. Each piece measures approximately 28"" x 18"". Comes packaged in a hanging poly bag.,Pillow Protectors,Protector D/Almohada",,1.25,"1.05,0.95",0.95,"Bed & Bath, Bedding",IN_STOCK
29472,Multi-Purpose Contouring Massage Cushion,DD075,.,neck-massage-cushion,"https://www.koleimports.com/media/catalog/product/D/D/DD075.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Great for relaxation, this Multi-Purpose Massage Cushion is made to ease all your aches and pains. Made with soft, stretchable fabric, the cushion contours to various parts of your body. Use the massage cushion on your neck, legs and back. Simply place the cushion on your car seat or office chair for relaxation and lumbar support. Simple one click control. Measures approximately 13&quot; x 8&quot; x 4&quot;. Requires 2 AA batteries (not included).",17.99,21.59,"17.99,17.99",17.99,"Bed & Bath, Bedding",OUT_OF_STOCK
59087,Green Seaweed Natural Handmade Cake Soap,HP221,852369003037,green-seaweed-natural-handmade-cake-soap-hp221,https://www.koleimports.com/media/catalog/product/placeholder/default/Untitled-4_1.jpg,"Green Seaweed Natural Handmade Cake Soap,",,0.78,"0.65,0.59",0.59,"Personal Care, Body Wash & Lotion",IN_STOCK
56668,60 Pack Baby Wipes,GE513,731015282326,60-pack-baby-wipes-ge513,"https://www.koleimports.com/media/catalog/product/G/E/GE513.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These Baby Wipes are not only great for helping keep you & your baby's bottom clean, but also to wipe off countertops, car surfaces, phone screens, spills, sticky surfaces, and much more! Suitable for most skin types, these fresh-scented wipes measure approximately 7.8"" x 5.9"" each. 60 wipes come packaged inside of a blue traditional rectangular wet wipe package with a resealable tab on top.,60 Pack Baby Wipes,",,1.98,"1.65,1.5",1.5,"Personal Care, Facial Cleaning Pads",IN_STOCK
18585,Dental Care Kit,OB591,731015175666,dental-care-kit,"https://www.koleimports.com/media/catalog/product/O/B/OB591.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Gentle on teeth and gums, this 8-piece Dental Care Kit comes with everything needed for a super smile! Set includes: toothbrush (medium bristle), tongue brush, dental mirror, dental pick, stain eraser and 3 toothpicks with floss. Comes in assorted colors.  Comes packaged in a blister pack.,Dental Care Kit,Juego Dental Ninos 8Pza",,2.09,"1.74,1.58",1.58,"Personal Care, Dental Care",IN_STOCK
